interaction_id,medicine,supplement_ingredient,interaction_risk,severity,recommendation
I0938,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0939,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0940,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0941,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0942,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0943,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0944,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0945,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0946,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0947,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0948,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0949,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0950,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0951,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0952,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0953,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0954,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0955,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0956,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0957,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0958,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0959,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0960,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0961,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0962,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0963,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0964,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0965,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0966,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0967,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0968,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0969,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0970,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0971,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0972,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0973,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0974,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0975,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0976,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0977,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0978,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0979,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0980,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0981,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0982,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0983,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0984,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0985,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0986,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0987,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0988,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0989,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0990,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0991,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0992,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0993,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0994,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0995,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0996,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0997,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0998,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0999,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I1000,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I1001,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1002,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1003,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I1004,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I1005,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1006,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I1007,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I1008,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I1009,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I1010,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I1011,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I1012,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I1013,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I1014,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I1015,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I1016,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I1017,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I1018,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I1019,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I1020,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I1021,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I1022,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I1023,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I1024,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I1025,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I1026,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1027,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1028,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I1029,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I1030,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1031,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I1032,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I1033,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I1034,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I1035,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I1036,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I1037,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I1038,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I1039,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I1040,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I1041,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I1042,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I1043,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I1044,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I1045,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I1046,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I1047,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I1048,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I1049,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I1050,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I1051,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1052,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1053,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I1054,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I1055,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1056,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I1057,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I1058,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I1059,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I1060,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I1061,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I1062,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I1063,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I1064,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I1065,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I1066,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I1067,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I1068,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I1069,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I1070,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I1071,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I1072,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I1073,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I1074,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I1075,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I1076,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1077,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I1078,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I1079,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
